model,split,precision,recall,f1_score,roc_auc
log_reg,train,0.9597284718964562,0.9599052613770935,0.9596750767475606,0.9917431048969715
log_reg,test,0.9592050970239571,0.959404600811908,0.959213273149098,0.9921868863877725
rand_forest,train,0.828635562827676,0.8304855354423956,0.8283367997084695,0.9562382379990667
rand_forest,test,0.7971608269703616,0.8017591339648173,0.7974348364219876,0.9382313631207696
grad_boost,train,0.8163816602903978,0.8159363897817629,0.8131199348775078,0.9486551479241867
grad_boost,test,0.8131406828172139,0.8146143437077131,0.8102342303096429,0.945584773588575
