model,split,precision,recall,f1_score,roc_auc
log_reg,train,0.9571851344616753,0.9573748308525034,0.957156980423554,0.9892589622668182
log_reg,test,0.9571851344616753,0.9573748308525034,0.957156980423554,0.9892589622668182
rand_forest,train,0.7117572098480252,0.7246278755074425,0.7099397833796087,0.8643976979392538
rand_forest,test,0.7117572098480252,0.7246278755074425,0.7099397833796087,0.8643976979392538
grad_boost,train,0.7118546410246446,0.7246278755074425,0.7102900314624608,0.8646710077813555
grad_boost,test,0.7118546410246446,0.7246278755074425,0.7102900314624608,0.8646710077813555
